"Source:","F:\MLAB_G\Moduly_zvlast\SOLARMINI01\hw\sch_pcb\SOLARMINI01B.kicad_sch"
"Date:","22.12.2021 12:41:42"
"Tool:","Eeschema (5.99.0-13046-g4fe9f01eb0)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","28"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","UST_ID"
"","","C1","47uF/16","Device:C_Polarized","Mlab_C:TantalC_SizeC_Reflow","~","5c70984412875079b91f8867"
"","","C2","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","5c70984712875079b91f8b4c"
"","","C3","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","5c70984712875079b91f8b50"
"","","C4","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","5c70984712875079b91f8b4c"
"","","C5","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","5c70984812875079b91f8bbd"
"","","C6","47uF/16","Device:C_Polarized","Mlab_C:TantalC_SizeC_Reflow","~","5c70984412875079b91f8867"
"","","C7","47uF/16","Device:C_Polarized","Mlab_C:TantalC_SizeC_Reflow","~","5c70984412875079b91f8867"
"","","C8","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","5c70984712875079b91f8b45"
"","","D1","15MQ040N","Device:D_Schottky","Diode_SMD:D_SMA","~","5c70984512875079b91f88b0"
"","","D2","SMBJ5.0A","Device:D_Zener","Diode_SMD:D_SMA","~","5c70984512875079b91f88c7"
"","","J1","WAGO 256 RED","MLAB_Jumpers:CONN1_1","Mlab_CON:WAGO256","","5c70984412875079b91f87c5"
"","","J2","WAGO 256 BLUE","MLAB_Jumpers:CONN1_1","Mlab_CON:WAGO256","","5c70984412875079b91f87c3"
"","","J3","HEADER_1x01","MLAB_HEADER:HEADER_1x01","Mlab_Pin_Headers:Straight_1x01","",""
"","","J4","HEADER_2x03_PARALLEL","MLAB_HEADER:HEADER_2x03_PARALLEL","Mlab_Pin_Headers:Straight_2x03","",""
"","","L1","10uH - DE1205-10","Device:L_Small","Mlab_L:DE1205-10","~","5c70984412875079b91f8822"
"","","M1","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:MountingHole_3mm","",""
"","","M2","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:MountingHole_3mm","",""
"","","M3","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:MountingHole_3mm","",""
"","","M4","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:MountingHole_3mm","",""
"","","R1","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","5c70984512875079b91f898c"
"","","R2","-","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"","","R3","0R","Device:R","Resistor_SMD:R_0805_2012Metric","~","5c70984512875079b91f896b"
"","","R4","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","5c70984512875079b91f898c"
"","","R5","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","5c70984512875079b91f898c"
"","","R6","0R47","Device:R","Resistor_SMD:R_1206_3216Metric","~","60be2ed51287500165e6c1cd"
"","","R7","560k","Device:R","Resistor_SMD:R_0805_2012Metric","~","5c70984712875079b91f8aa6"
"","","R8","270k","Device:R","Resistor_SMD:R_0805_2012Metric","~","5c70984712875079b91f8aa0"
"","","U1","SPV1040","MLAB_IO:SPV1040","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","","5c70984612875079b91f89bc"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","UST_ID"
"1","3","C1, C6, C7","47uF/16","Device:C_Polarized","Mlab_C:TantalC_SizeC_Reflow","~","5c70984412875079b91f8867"
"2","2","C2, C4","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","5c70984712875079b91f8b4c"
"3","1","C3","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","5c70984712875079b91f8b50"
"4","1","C5","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","5c70984812875079b91f8bbd"
"5","1","C8","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","5c70984712875079b91f8b45"
"6","1","D1","15MQ040N","Device:D_Schottky","Diode_SMD:D_SMA","~","5c70984512875079b91f88b0"
"7","1","D2","SMBJ5.0A","Device:D_Zener","Diode_SMD:D_SMA","~","5c70984512875079b91f88c7"
"8","1","J1","WAGO 256 RED","MLAB_Jumpers:CONN1_1","Mlab_CON:WAGO256","","5c70984412875079b91f87c5"
"9","1","J2","WAGO 256 BLUE","MLAB_Jumpers:CONN1_1","Mlab_CON:WAGO256","","5c70984412875079b91f87c3"
"10","1","J3","HEADER_1x01","MLAB_HEADER:HEADER_1x01","Mlab_Pin_Headers:Straight_1x01","",""
"11","1","J4","HEADER_2x03_PARALLEL","MLAB_HEADER:HEADER_2x03_PARALLEL","Mlab_Pin_Headers:Straight_2x03","",""
"12","1","L1","10uH - DE1205-10","Device:L_Small","Mlab_L:DE1205-10","~","5c70984412875079b91f8822"
"13","4","M1, M2, M3, M4","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:MountingHole_3mm","",""
"14","3","R1, R4, R5","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","5c70984512875079b91f898c"
"15","1","R2","-","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"16","1","R3","0R","Device:R","Resistor_SMD:R_0805_2012Metric","~","5c70984512875079b91f896b"
"17","1","R6","0R47","Device:R","Resistor_SMD:R_1206_3216Metric","~","60be2ed51287500165e6c1cd"
"18","1","R7","560k","Device:R","Resistor_SMD:R_0805_2012Metric","~","5c70984712875079b91f8aa6"
"19","1","R8","270k","Device:R","Resistor_SMD:R_0805_2012Metric","~","5c70984712875079b91f8aa0"
"20","1","U1","SPV1040","MLAB_IO:SPV1040","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","","5c70984612875079b91f89bc"
